,Year,Category,Strata,Ca Number of TB cases,Population,"Rate per 100,000 population",location,All MDR,Multidrug Resistant TB Cases  Total MDR No Previous  TB Eligible,Multidrug Resistant TB Cases Total MDR Previous TB Eligible,Multidrug Resistant TB Cases Total MDR Previous TB Percentage,Multidrug Resistant TB Cases Total MDR No Previous TB Percent,NYC Number of TB cases,"NYC Rate per 100,000",Culture-positive cases,Sputum smear-positive cases,"Sputum smear-positive rate per 100,000",Multidrug-resistance cases,"antibiotic_resistance_per_100,000",infection_rate_change_NYC,infection_rate_change_CA,total_number_drug_resistance_cases,US_infection_rate_percentage,infection_rate_change_US,infection_rate_difference_between_California_and_NYC,antibiotic_resistance_rate_percentage
0,2005.0,Total,All cases,2897,35985582,8.1,California,,,,,,,,,,,,,,,,,,,
1,2006.0,Total,All cases,2776,36246822,7.7,California,,,,,,,,,,,,,,-0.39999999999999947,,,,,
2,2007.0,Total,All cases,2722,36552529,7.4,California,,,,,,,,,,,,,,-0.2999999999999998,,,,,
3,2008.0,Total,All cases,2695,36856222,7.3,California,,,,,,,,,,,,,,-0.10000000000000053,,,,,
4,2009.0,Total,All cases,2466,37077204,6.7,California,,,,,,,,,,,,,,-0.5999999999999996,,,,,
5,2010.0,Total,All cases,2323,37363368,6.2,California,,,,,,,,,,,,,,-0.5,,,,,
6,2011.0,Total,All cases,2320,37703593,6.2,California,,,,,,,,,,,,,,0.0,,,,,
7,2012.0,Total,All cases,2184,38055785,5.7,California,,,,,,,,,,,,,,-0.5,,,,,
8,2013.0,Total,All cases,2162,38342642,5.6,California,,,,,,,,,,,,,,-0.10000000000000053,,,,,
9,2014.0,Total,All cases,2130,38644802,5.5,California,,,,,,,,,,,,,,-0.09999999999999964,,,,,
10,2015.0,Total,All cases,2131,38913507,5.5,California,,,,,,,,,,,,,,0.0,,,,,
11,2016.0,Total,All cases,2059,39127855,5.3,California,,,,,,,,,,,,,,-0.20000000000000018,,,,,
12,2005.0,,,,,,,125.0,10064.0,507.0,4.5,1.0,,,,,,,,,,10571.0,5.5,,,
13,2006.0,,,,,,,124.0,9909.0,494.0,4.0,1.0,,,,,,,,,,10403.0,5.0,-168.0,,
14,2007.0,,,,,,,124.0,9656.0,496.0,3.8,1.0,,,,,,,,,,10152.0,4.8,-251.0,,
15,2008.0,,,,,,,107.0,9310.0,429.0,4.4,0.9,,,,,,,,,,9739.0,5.300000000000001,-413.0,,
16,2009.0,,,,,,,115.0,8228.0,343.0,5.5,1.2,,,,,,,,,,8571.0,6.7,-1168.0,,
17,2010.0,,,,,,,106.0,7789.0,360.0,4.7,1.1,,,,,,,,,,8149.0,5.800000000000001,-422.0,,
18,2011.0,,,,,,,128.0,7534.0,343.0,7.9,1.3,,,,,,,,,,7877.0,9.200000000000001,-272.0,,
19,2012.0,,,,,,,89.0,7076.0,356.0,3.4,1.1,,,,,,,,,,7432.0,4.5,-445.0,,
20,2013.0,,,,,,,96.0,6856.0,300.0,4.0,1.2,,,,,,,,,,7156.0,5.2,-276.0,,
21,2014.0,,,,,,,94.0,6736.0,336.0,7.1,1.0,,,,,,,,,,7072.0,8.1,-84.0,,
22,2015.0,,,,,,,88.0,6955.0,318.0,5.0,1.0,,,,,,,,,,7273.0,6.0,201.0,,
23,2016.0,,,,,,,97.0,6717.0,302.0,6.0,1.2,,,,,,,,,,7019.0,7.2,-254.0,,
42,2005.0,,,,,,New York City,,,,,,983.0,12.3,745.0,378.0,4.7,24.0,3.2214765100671143,,,,,,,0.024415055951169887
43,2006.0,,,,,,New York City,,,,,,947.0,11.8,705.0,354.0,4.4,23.0,3.2624113475177303,-0.5,,,,,,0.024287222808870117
44,2007.0,,,,,,New York City,,,,,,909.0,11.4,707.0,379.0,4.7,9.0,1.272984441301273,-0.40000000000000036,,,,,,0.009900990099009901
45,2008.0,,,,,,New York City,,,,,,886.0,11.1,685.0,339.0,4.2,11.0,1.6058394160583942,-0.3000000000000007,,,,,,0.012415349887133182
46,2009.0,,,,,,New York City,,,,,,757.0,9.5,539.0,281.0,3.5,9.0,1.6697588126159555,-1.5999999999999996,,,,,,0.011889035667107
47,2010.0,,,,,,New York City,,,,,,705.0,8.6,511.0,265.0,3.2,11.0,2.152641878669276,-0.9000000000000004,,,,,,0.015602836879432624
48,2011.0,,,,,,New York City,,,,,,684.0,8.4,501.0,264.0,3.2,16.0,3.1936127744510974,-0.1999999999999993,,,,,,0.023391812865497075
49,2012.0,,,,,,New York City,,,,,,652.0,8.0,495.0,271.0,3.3,19.0,3.8383838383838382,-0.40000000000000036,,,,,,0.029141104294478526
50,2013.0,,,,,,New York City,,,,,,650.0,8.0,473.0,258.0,3.2,7.0,1.4799154334038054,0.0,,,,,,0.010769230769230769
51,2014.0,,,,,,New York City,,,,,,582.0,7.1,454.0,243.0,3.0,10.0,2.2026431718061676,-0.9000000000000004,,,,,,0.01718213058419244
52,2015.0,,,,,,New York City,,,,,,575.0,7.0,444.0,240.0,2.9,5.0,1.1261261261261262,-0.09999999999999964,,,,,,0.008695652173913044
53,2016.0,,,,,,New York City,,,,,,556.0,6.8,447.0,225.0,2.8,11.0,2.460850111856823,-0.20000000000000018,,,,,,0.019784172661870502
